,Generation,brand,gen,model,Model_Number
304,10th Gen Intel Core i5 1035G1,Intel,10th,i5,1035G1
305,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
306,Intel Celeron N4020,Intel,None,Celeron,N4020
307,11th Gen Intel Core i5 L16G7,Intel,11th,i5,L16G7
308,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
309,13th Gen Intel Core i5 13450HX,Intel,13th,i5,13450HX
310,13th Gen Intel Core i9 13900HX,Intel,13th,i9,13900HX
311,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
312,12th Gen intel Core i5 12450H,intel,12th,i5,12450H
313,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
314,13th Gen Intel Core i7 13700HX,Intel,13th,i7,13700HX
315,Intel Core Ultra 7 Series 1 155H,Intel,None,Ultra 7,155H
316,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
317,Intel Core Ultra 9 Series 1 185H,Intel,None,Ultra 9,185H
318,Intel Core Ultra 9 Series 1 185H,Intel,None,Ultra 9,185H
319,11th Gen Intel Core i5 1135G7 ,Intel,11th,i5,1135G7
320,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
321,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
322,11th Gen Intel Core i5 1135G7,Intel,11th,i5,1135G7
323,5th Gen AMD Ryzen 5  5500U,AMD,5th,Ryzen 5,5500U
324,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
325,8th Gen Amd Ryzen 7 8845HS,Amd,8th,Ryzen 7,8845HS
326,11th Gen Intel Core i7 11800H,Intel,11th,i7,11800H
327,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
328,12th Gen Intel Core i7 1255U,Intel,12th,i7,1255U
329,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
330,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
331,4th Gen Intel Celeron N4020,Intel,4th,Celeron,N4020
332,13th Gen Intel Core i3 1305U,Intel,13th,i3,1305U
333,5th Gen AMD Ryzen 7  5700U,AMD,5th,Ryzen 7,5700U
334,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
335,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
336,13th Gen Intel Core i3 1315U,Intel,13th,i3,1315U
337,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
338,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
339,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
340,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
341,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
342,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
343,13th Gen Intel Core i9 13980HX,Intel,13th,i9,13980HX
344,Intel Core i3 N305,Intel,None,i3,N305
345,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
346,12th Gen Intel Core i7 1260P,Intel,12th,i7,1260P
347,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
348,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
349,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
350,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
351,Intel Celeron  N4020,Intel,None,Celeron,N4020
352,Apple M3 Pro,Apple,None,M3,Pro
353,Apple M3,Apple,None,M3,M3
354,Apple M3 Pro,Apple,None,M3,Pro
355,Apple M3 Pro,Apple,None,M3,Pro
356,Apple M3 Max,Apple,None,M3,Max
357,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
358,11th Gen Intel Core i5 1135G7 ,Intel,11th,i5,1135G7
359,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
360,7th Gen AMD Ryzen 5 7535HS,AMD,7th,Ryzen 5,7535HS
361,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
362,5th Gen AMD Ryzen 5 5500H,AMD,5th,Ryzen 5,5500H
363,Intel Celeron  N4020,Intel,None,Celeron,N4020
364,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
365,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
366,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
367,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
368,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
369,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
370,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
371,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
372,10th Gen Intel Core i5 1035G1,Intel,10th,i5,1035G1
373,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
374,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
375,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
376,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
377,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
378,12th Gen Intel Core i5 12500H,Intel,12th,i5,12500H
379,7th Gen AMD Ryzen 5 7535HS,AMD,7th,Ryzen 5,7535HS
380,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
381,5th Gen AMD Ryzen 7  5700U,AMD,5th,Ryzen 7,5700U
382,11th Gen Intel Core i5 11320H,Intel,11th,i5,11320H
383,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
384,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
385,5th Gen AMD Ryzen 7 5800HS,AMD,5th,Ryzen 7,5800HS
386,13th Gen Intel Core i7 13700HX,Intel,13th,i7,13700HX
387,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
388,13th Gen Intel Core i5 1340P,Intel,13th,i5,1340P
389,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
390,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
391,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
392,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
393,11th Gen Intel Core i5 11260H,Intel,11th,i5,11260H
394,7th Gen AMD Ryzen 7  7730U,AMD,7th,Ryzen 7,7730U
395,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
396,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
397,Intel Celeron  N4500,Intel,None,Celeron,N4500
398,12th Gen Intel Core i5 12450H ,Intel,12th,i5,12450H
399,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
400,11th Gen Intel Core i5 11320H,Intel,11th,i5,11320H
401,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
402,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
403,6th Gen AMD Ryzen 7 6800H,AMD,6th,Ryzen 7,6800H
404,11th Gen Intel Core i7 1165G7,Intel,11th,i7,1165G7
405,13th Gen Intel Core i5 1340P,Intel,13th,i5,1340P
406,5th Gen AMD Ryzen 7 5800HS,AMD,5th,Ryzen 7,5800HS
407,Intel Celeron N4500,Intel,None,Celeron,N4500
408,Intel   N4500,Intel,None,None,N4500
409,13th Gen Intel Core i3 1315U,Intel,13th,i3,1315U
410,5th Gen AMD Ryzen 5 5500H,AMD,5th,Ryzen 5,5500H
411,Intel Celeron  N4020,Intel,None,Celeron,N4020
412,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
413,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
414,13th Gen Intel Core i9 13900HX,Intel,13th,i9,13900HX
415,MediaTek MT8183,Media,None,None,MT8183
416,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
417,Intel Celeron N4500,Intel,None,Celeron,N4500
418,12th Gen Intel Core i7 1255U,Intel,12th,i7,1255U
419,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
420,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
421,Intel Celeron  N4020,Intel,None,Celeron,N4020
422,7th Gen Amd Ryzen 7 7840H,Amd,7th,Ryzen 7,7840H
423,13th Gen Intel Core i7 13700HX,Intel,13th,i7,13700HX
424,13th Gen Intel Core i7 13700HX,Intel,13th,i7,13700HX
425,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
426,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
427,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
428,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
429,11th Gen Intel Core i5 11400H,Intel,11th,i5,11400H
430,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
431,5th Gen AMD Ryzen 5  5500U,AMD,5th,Ryzen 5,5500U
432,Intel Celeron N4500,Intel,None,Celeron,N4500
433,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
434,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
435,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
436,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
437,7th Gen AMD Ryzen 7 7745HX,AMD,7th,Ryzen 7,7745HX
438,13th Gen Intel Core i9 13900HX,Intel,13th,i9,13900HX
439,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
440,5th Gen AMD Ryzen 7 5800H,AMD,5th,Ryzen 7,5800H
441,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
442,13th Gen Intel Core i7 13620H,Intel,13th,i7,13620H
443,13th Gen Intel Core i9 13950HX,Intel,13th,i9,13950HX
444,6th Gen AMD Ryzen 7 6800HS ,AMD,6th,Ryzen 7,6800HS
445,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
446,Intel Celeron N4500,Intel,None,Celeron,N4500
447,6th Gen AMD Ryzen 5 6600H,AMD,6th,Ryzen 5,6600H
448,11th Gen Intel Core i7 1165G7,Intel,11th,i7,1165G7
449,MediaTek MT8183,Media,None,None,MT8183
450,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
451,Intel Celeron Dual Core N4500,Intel,None,Celeron,N4500
452,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
453,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
454,7th Gen AMD Ryzen 7 7735HS,AMD,7th,Ryzen 7,7735HS
455,11th Gen Intel Core i5 11320H,Intel,11th,i5,11320H
456,6th Gen AMD Ryzen 7  6800H,AMD,6th,Ryzen 7,6800H
457,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
458,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
459,11th Gen Intel Core i5 1135G7,Intel,11th,i5,1135G7
460,11th Gen Intel Core i5 1135G7,Intel,11th,i5,1135G7
461,5th Gen AMD Ryzen 5  5600H,AMD,5th,Ryzen 5,5600H
462,6th Gen AMD Ryzen 5 6600H,AMD,6th,Ryzen 5,6600H
463,5th Gen AMD Ryzen 7 5800H,AMD,5th,Ryzen 7,5800H
464,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
465,4th Gen AMD Ryzen 7 PRO 4750U,AMD,4th,Ryzen 7,4750U
466,5th Gen AMD Ryzen 5  5500H,AMD,5th,Ryzen 5,5500H
467,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
468,11th Gen Intel Core i5 1135G7,Intel,11th,i5,1135G7
469,3rd Gen AMD Athlon 3050U,AMD,3rd,Athlon,3050U
470,AMD Athlon 7120U,AMD,None,Athlon,7120U
471,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
472,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
473,12th Gen Intel Core i7 1255U,Intel,12th,i7,1255U
474,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
475,13th Gen Intel Core i7 13700HX,Intel,13th,i7,13700HX
476,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
477,13th Gen Intel Core i5 13450HX,Intel,13th,i5,13450HX
478,13th Gen Intel Core i5 13450HX,Intel,13th,i5,13450HX
479,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
480,13th Gen Intel Core i3 1305U,Intel,13th,i3,1305U
481,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
482,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
483,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
484,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
485,12th Gen Intel Core i7 1255U,Intel,12th,i7,1255U
486,6th Gen AMD Ryzen 7 6800H,AMD,6th,Ryzen 7,6800H
487,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
488,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
489,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
490,11th Gen Intel Core i5 11320H,Intel,11th,i5,11320H
491,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
492,7th Gen AMD Ryzen 7 7730U,AMD,7th,Ryzen 7,7730U
493,5th Gen AMD Ryzen 7 5700U,AMD,5th,Ryzen 7,5700U
494,10th Gen Intel Core i3 1005G1,Intel,10th,i3,1005G1
495,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
496,5th Gen AMD Ryzen 5  5600H ,AMD,5th,Ryzen 5,5600H
497,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
498,11th Gen Intel Core i5 11320H,Intel,11th,i5,11320H
499,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
500,13th Gen Intel Core i7 1355U ,Intel,13th,i7,1355U
501,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
502,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
503,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
504,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
505,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
506,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
507,13th Gen Intel Core i3 1305U,Intel,13th,i3,1305U
508,12th Gen Intel Core i7 1250U,Intel,12th,i7,1250U
509,Intel Celeron N4020,Intel,None,Celeron,N4020
510,13th Gen Intel Core i5 1334U,Intel,13th,i5,1334U
511,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
512,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
513,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
514,7th Gen AMD Ryzen 7  7730U,AMD,7th,Ryzen 7,7730U
515,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
516,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
517,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
518,Intel Celeron N4500,Intel,None,Celeron,N4500
519,6th Gen AMD Ryzen 7 6800H,AMD,6th,Ryzen 7,6800H
520,7th Gen AMD Ryzen 5 7535HS,AMD,7th,Ryzen 5,7535HS
521,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
522,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
523,7th Gen AMD Ryzen 7 7735U,AMD,7th,Ryzen 7,7735U
524,11th Gen Intel Core i7 1165G7,Intel,11th,i7,1165G7
525,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
526,5th Gen AMD Ryzen 5 5600HS,AMD,5th,Ryzen 5,5600HS
527,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
528,5th Gen AMD Ryzen 7 5800HS,AMD,5th,Ryzen 7,5800HS
529,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
530,3rd Gen AMD Ryzen 3  3250U,AMD,3rd,Ryzen 3,3250U
531,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
532,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
533,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
534,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
535,7th Gen AMD Ryzen 5 7535HS,AMD,7th,Ryzen 5,7535HS
536,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
537,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
538,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
539,13th Gen Intel Core i9 13980HX,Intel,13th,i9,13980HX
540,12th Gen Intel Core i7 12700H ,Intel,12th,i7,12700H
541,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
542,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
543,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
544,Intel Celeron N4500,Intel,None,Celeron,N4500
545,Intel Celeron N4500,Intel,None,Celeron,N4500
546,4th Gen Intel Celeron N4020,Intel,4th,Celeron,N4020
547,13th Gen Intel Core i7 13620H,Intel,13th,i7,13620H
548,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
549,12th Gen Intel Core i5 12500H,Intel,12th,i5,12500H
550,13th Gen Intel Core i3 1315U,Intel,13th,i3,1315U
551,5th Gen AMD Ryzen 7  5700U,AMD,5th,Ryzen 7,5700U
552,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
553,7th Gen AMD Ryzen 7 7730U,AMD,7th,Ryzen 7,7730U
554,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
555,13th Gen Intel Core i9 13900HX,Intel,13th,i9,13900HX
556,7th Gen AMD Ryzen 7 7730U,AMD,7th,Ryzen 7,7730U
557,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
558,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
559,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
560,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
561,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
562,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
563,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
564,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
565,11th Gen Intel Core i5 11400H,Intel,11th,i5,11400H
566,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
567,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
568,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
569,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
570,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
571,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
572,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
573,5th Gen AMD Ryzen 5  5600H,AMD,5th,Ryzen 5,5600H
574,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
575,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
576,5th Gen AMD Ryzen 7 5700U,AMD,5th,Ryzen 7,5700U
577,7th Gen Amd Ryzen 5 7535HS,Amd,7th,Ryzen 5,7535HS
578,11th Gen Intel Core i5 11260H,Intel,11th,i5,11260H
579,3rd Gen AMD Ryzen 3  3250U,AMD,3rd,Ryzen 3,3250U
580,13th Gen Intel Core i7 13700HX,Intel,13th,i7,13700HX
581,5th Gen AMD Ryzen 5  5600H,AMD,5th,Ryzen 5,5600H
582,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
583,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
584,12th Gen Intel Core i7 1255U,Intel,12th,i7,1255U
585,11th Gen Intel Core i3 1125G4,Intel,11th,i3,1125G4
586,11th Gen Intel Core i3 1125G4,Intel,11th,i3,1125G4
587,11th Gen Intel Core i7 1165G7,Intel,11th,i7,1165G7
588,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
589,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
590,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
591,10th Gen Intel Core i5 1035G4,Intel,10th,i5,1035G4
592,Intel Core i3 N305,Intel,None,i3,N305
593,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
594,11th Gen Intel Core i5 11260H,Intel,11th,i5,11260H
595,11th Gen Intel Core i5 11260H,Intel,11th,i5,11260H
596,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
597,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
598,12th Gen Intel Core i7 1255U,Intel,12th,i7,1255U
599,13th Gen Intel Core i7 13620H,Intel,13th,i7,13620H
600,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
601,11th Gen Intel Core i5 1135G7,Intel,11th,i5,1135G7
602,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
603,13th Gen Intel Core i3 1305U,Intel,13th,i3,1305U
604,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
605,13th Gen Intel Core i3 1305U,Intel,13th,i3,1305U
606,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
607,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
608,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
609,7th Gen Amd Ryzen 5 7520U,Amd,7th,Ryzen 5,7520U
610,13th Gen Intel Core i5 1340P,Intel,13th,i5,1340P
